id	name	wiki_title	description	wiki_url
DOID:0050156	idiopathic pulmonary fibrosis	Idiopathic pulmonary fibrosis	Idiopathic pulmonary fibrosis (IPF), formerly known as cryptogenic fibrosing alveolitis, is a rare, progressive illness of the respiratory system, characterized by the thickening and stiffening of lung tissue, that surrounds the air sacs, and is associated with the formation of scar tissue. It is a type of chronic pulmonary fibrosis characterized by a progressive and irreversible decline in lung function. Symptoms typically include gradual onset of shortness of breath and a dry cough. Other changes may include feeling tired, and clubbing (abnormally large and dome shaped finger and toenails). Complications may include pulmonary hypertension, heart failure, pneumonia or pulmonary embolism. The cause is unknown, hence the term idiopathic. Risk factors include cigarette smoking, gastroesophageal reflux disease, certain viral infections, and genetic predisposition. The underlying mechanism involves scarring of the lungs. Diagnosis requires ruling out other potential causes. It may be supported by a high resolution CT scan or lung biopsy which show usual interstitial pneumonia. It is a type of interstitial lung disease. People often benefit from pulmonary rehabilitation and supplemental oxygen. Anti-fibrotic medications like pirfenidone or nintedanib may slow the progression of the disease. Lung transplantation may also be an option. About 5 million people are affected globally. The disease newly occurs in about 12 per 100,000 people per year. Those in their 60s and 70s are most commonly affected. Males are affected more often than females. Average life expectancy following diagnosis is about four years. Updated international guidelines were published in 2022, which resulted in some simplification in diagnosis and the removal of antacids as a possible adjunct therapy.	https://en.wikipedia.org/wiki/Idiopathic_pulmonary_fibrosis
DOID:0050425	restless legs syndrome	Restless legs syndrome	Restless legs syndrome (RLS), also known as Willis–Ekbom disease (WED), is a neurological disorder, usually chronic, that causes an overwhelming urge to move one's legs. There is often an unpleasant feeling in the legs that improves temporarily by moving them. This feeling is often described as aching, tingling, or crawling in nature. Occasionally, arms may also be affected. The feelings generally happen when at rest and therefore can make it hard to sleep. Sleep disruption may leave people with RLS sleepy during the day, with low energy, and irritable or depressed. Additionally, many have limb twitching during sleep, a condition known as periodic limb movement disorder (PLMD). RLS is not the same as habitual foot-tapping or leg-rocking.	https://en.wikipedia.org/wiki/Restless_legs_syndrome
DOID:0050741	alcohol dependence	Alcohol dependence	Alcohol dependence is a previous (DSM-IV and ICD-10) psychiatric diagnosis in which an individual is physically or psychologically dependent upon alcohol (also chemically known as ethanol). In 2013, it was reclassified as alcohol use disorder in DSM-5, which combined alcohol dependence and alcohol abuse into this diagnosis.	https://en.wikipedia.org/wiki/Alcohol_dependence
DOID:0050742	nicotine dependence	Nicotine dependence	"Nicotine dependence is a state of substance dependence on nicotine. It is a chronic, relapsing disease characterized by a compulsive craving to use the drug despite social consequences, loss of control over drug intake, and the emergence of withdrawal symptoms. Tolerance is another component of drug dependence. Nicotine dependence develops over time as an individual continues to use nicotine. While cigarettes are the most commonly used tobacco product, all forms of tobacco use—including smokeless tobacco and e-cigarette use—can cause dependence. Nicotine dependence is a serious public health problem because it leads to continued tobacco use and the associated negative health effects. Tobacco use is one of the leading preventable causes of death worldwide, causing more than 8 million deaths per year and killing half of its users who do not quit. Current smokers are estimated to die an average of 10 years earlier than non-smokers. According to the World Health Organization, ""Greater nicotine dependence has been shown to be associated with lower motivation to quit, difficulty in trying to quit, and failure to quit, as well as with smoking the first cigarette earlier in the day and smoking more cigarettes per day."" The WHO estimates that there were 1.24 billion tobacco users globally in 2022, with the number projected to decline to 1.20 billion in 2025. Of the 34 million smokers in the United States in 2018, 74.6% smoked every day, indicating the potential for some level of nicotine dependence. There is an increased incidence of nicotine dependence in individuals with psychiatric disorders, such as anxiety disorders and substance use disorders. Various methods exist for measuring nicotine dependence. Common assessment scales for cigarette smokers include the Fagerström Test for Nicotine Dependence, the Diagnostic and Statistical Manual of Mental Disorders criteria, the Cigarette Dependence Scale, the Nicotine Dependence Syndrome Scale, and the Wisconsin Inventory of Smoking Dependence Motives. Nicotine is a parasympathomimetic stimulant that binds to nicotinic acetylcholine receptors in the brain. Neuroplasticity within the brain's reward system, including an increase in the number of nicotine receptors, occurs as a result of long-term nicotine use and leads to nicotine dependence. In contrast, the effect of nicotine on human brain structure (e.g., gray matter and white matter) is less clear. Genetic risk factors contribute to the development of dependence. For instance, genetic markers for specific types of nicotinic receptors (the α5–α3–β4 nicotinic receptors) have been linked to an increased risk of dependence. Evidence-based treatments—including medications such as nicotine replacement therapy, bupropion, varenicline, or cytisine, and behavioral counseling—can double or triple a smoker's chances of successfully quitting."	https://en.wikipedia.org/wiki/Nicotine_dependence
DOID:0060073	lymphatic system cancer		Description not found.	
DOID:0060119	pharynx cancer	Head and neck cancer	Head and neck cancer is a general term encompassing multiple cancers that can develop in the head and neck region. These include cancers of the mouth, tongue, gums and lips (oral cancer), voice box (laryngeal), throat (nasopharyngeal, oropharyngeal, hypopharyngeal), salivary glands, nose and sinuses. Head and neck cancer can present a wide range of symptoms depending on where the cancer developed. These can include an ulcer in the mouth that does not heal, changes in the voice, difficulty swallowing, red or white patches in the mouth, and a neck lump.  The majority of head and neck cancer is caused by the use of alcohol or tobacco (including smokeless tobacco). An increasing number of cases are caused by the human papillomavirus (HPV). Other risk factors include the Epstein–Barr virus, chewing betel quid (paan), radiation exposure, poor nutrition and workplace exposure to certain toxic substances. About 90% are pathologically classified as squamous cell cancers. The diagnosis is confirmed by a tissue biopsy. The degree of surrounding tissue invasion and distant spread may be determined by medical imaging and blood tests. Not using tobacco or alcohol can reduce the risk of head and neck cancer. Regular dental examinations may help to identify signs before the cancer develops. The HPV vaccine helps to prevent HPV-related oropharyngeal cancer. Treatment may include a combination of surgery, radiation therapy, chemotherapy, and targeted therapy. In the early stage head and neck cancers are often curable but 50% of people see their doctor when they already have an advanced disease.  Globally, head and neck cancer accounts for 650,000 new cases of cancer and 330,000 deaths annually on average. In 2018, it was the seventh most common cancer worldwide, with 890,000 new cases documented and 450,000 people dying from the disease. The usual age at diagnosis is between 55 and 65 years old. The average 5-year survival following diagnosis in the developed world is 42–64%.	https://en.wikipedia.org/wiki/Head_and_neck_cancer
DOID:10021	duodenum cancer		Description not found.	
DOID:10153	ileum cancer		Description not found.	
DOID:1024	leprosy	Leprosy	"Leprosy, also known as Hansen's disease (HD), is a long-term infection by the bacterium Mycobacterium leprae or Mycobacterium lepromatosis. Infection can lead to damage of the nerves, respiratory tract, skin, and eyes. This nerve damage may result in the loss of nociception, which can lead to the loss of parts of a person's extremities from repeated injuries or infection through unnoticed wounds. An infected person may also experience muscle weakness and loss of eyesight. Leprosy symptoms may begin within one year or take 20 years or more. Leprosy is spread between people, although extensive contact is necessary. Leprosy has a low pathogenicity, and 95% of people who contract or who are exposed to M. leprae do not develop the disease. Spread is likely through a cough or contact with fluid from the nose of a person infected by leprosy. Genetic factors and baseline immune function play a role in how easily a person catches the disease. Leprosy is not spread during pregnancy to the unborn child or through genital sexual contact. There are two main types of the disease—paucibacillary and multibacillary, which differ in the number of bacteria present. A person with paucibacillary disease has five or fewer poorly pigmented, numb skin patches, while a person with multibacillary disease has more than five skin patches. The diagnosis is confirmed by finding acid-fast bacilli in a biopsy of the skin. Leprosy is curable with multidrug therapy. Treatment of paucibacillary leprosy is with the medications dapsone, rifampicin, and clofazimine for six months. Treatment for multibacillary leprosy uses the same medications for 12 months. Several other antibiotics may also be used. These treatments are provided free of charge by the World Health Organization. Leprosy is not highly contagious. People with leprosy can live with their families and attend school and work. In the 1980s, there were 5.2 million cases globally, but by 2020 this decreased to fewer than 200,000. Most new cases occur in one of 14 countries, with India accounting for more than half of all new cases. In the 20 years from 1994 to 2014, 16 million people worldwide were cured of leprosy. Separating people affected by leprosy by placing them in leper colonies is not supported by evidence but as of the late 2000s was still occurring in some areas of India, China, Japan, Africa, and Thailand. Leprosy has affected humanity for thousands of years. The disease takes its name from the Greek word λέπρα (lépra), from λεπίς (lepís; 'scale'), while the term ""Hansen's disease"" is named after the Norwegian physician Gerhard Armauer Hansen. Leprosy has historically been associated with social stigma, which continues to be a barrier to self-reporting and early treatment. Leprosy is classified as a neglected tropical disease. World Leprosy Day was started in 1954 to draw awareness to those affected by leprosy. The study of leprosy and its treatment is known as leprology."	https://en.wikipedia.org/wiki/Leprosy
DOID:10283	prostate cancer	Prostate cancer	Prostate cancer is the uncontrolled growth of cells in the prostate, a gland in the male reproductive system below the bladder. Abnormal growth of prostate tissue is usually detected through screening tests, typically blood tests that check for prostate-specific antigen (PSA) levels. Those with high levels of PSA in their blood are at increased risk for developing prostate cancer.  Diagnosis requires a biopsy of the prostate. If cancer is present, the pathologist assigns a Gleason score; a higher score represents a more dangerous tumor. Medical imaging is performed to look for cancer that has spread outside the prostate. Based on the Gleason score, PSA levels, and imaging results, a cancer case is assigned a stage 1 to 4. A higher stage signifies a more advanced, more dangerous disease. Most prostate tumors remain small and cause no health problems. These are managed with active surveillance, monitoring the tumor with regular tests to ensure it has not grown. Tumors more likely to be dangerous can be destroyed with radiation therapy or surgically removed by radical prostatectomy. Those whose cancer spreads beyond the prostate are treated with hormone therapy, which reduces levels of the androgens (masculinizing sex hormones) that prostate cells need to survive. Eventually, cancer cells can grow resistant to this treatment. This most-advanced stage of the disease, called castration-resistant prostate cancer, is treated with continued hormone therapy alongside the chemotherapy drug docetaxel.  Some tumors metastasize (spread) to other areas of the body, particularly the bones and lymph nodes. There, tumors cause severe bone pain, leg weakness or paralysis, and eventually death. Prostate cancer prognosis depends on how far the cancer has spread at diagnosis. Most men diagnosed have low-risk tumors confined to the prostate; 99% of them survive more than 10 years from their diagnoses. Tumors that have metastasized to distant body sites are most dangerous, with five-year survival rates of 30–40%. The risk of developing prostate cancer increases with age; the average age of diagnosis is 67. Those with a family history of any cancer are more likely to have prostate cancer, particularly those who inherit cancer-associated variants of the BRCA2 gene. Each year, 1.2 million cases of prostate cancer are diagnosed, and 350,000 die of the disease, making it the second-leading cause of cancer and cancer death in men. One in eight men is diagnosed with prostate cancer in their lifetime, and one in forty dies of the disease.  Prostate tumors were first described in the mid-19th century, during surgeries on men with urinary obstructions. Initially, prostatectomy was the primary treatment for prostate cancer. By the mid-20th century, radiation treatments and hormone therapies were developed to improve prostate cancer treatment. The invention of hormone therapies for prostate cancer was recognized with the 1966 Nobel Prize to Charles Huggins and the 1977 Prize to Andrzej W. Schally.	https://en.wikipedia.org/wiki/Prostate_cancer
